BarChartType,ModelName,SamplingTarget,SamplingMethod,DownSamplingLevel,RunIndex,MeanError
1,VGG19,Height,OOD,8,0,0.19376254799999998
1,VGG19,Height,OOD,8,1,0.194386856
1,VGG19,Height,OOD,8,2,0.1618029115
1,VGG19,Height,OOD,8,3,0.200595084
1,VGG19,Height,OOD,8,4,0.192836579
1,VGG19,Height,OOD,16,0,0.2202954835
1,VGG19,Height,OOD,16,1,0.204000508
1,VGG19,Height,OOD,16,2,0.17965664850000002
1,VGG19,Height,OOD,16,3,0.2643392365
1,VGG19,Height,OOD,16,4,0.249511389
1,ResNet50,Ratio,IID,2,0,0.0143956135
1,ResNet50,Ratio,IID,2,1,0.019454141
1,ResNet50,Ratio,IID,2,2,0.0161686165
1,ResNet50,Ratio,IID,2,3,0.0185167215
1,ResNet50,Ratio,IID,2,4,0.0155780315
1,ResNet50,Ratio,IID,4,0,0.021271190000000002
1,ResNet50,Ratio,IID,4,1,0.018892006
1,ResNet50,Ratio,IID,4,2,0.023986974
1,ResNet50,Ratio,IID,4,3,0.014807591
1,ResNet50,Ratio,IID,4,4,0.021398938
1,ResNet50,Ratio,IID,8,0,0.019154287
1,ResNet50,Ratio,IID,8,1,0.051935369
1,ResNet50,Ratio,IID,8,2,0.023267924500000002
1,ResNet50,Ratio,IID,8,3,0.0519321775
1,ResNet50,Ratio,IID,8,4,0.038916614499999995
1,ResNet50,Ratio,IID,16,0,0.1435210105
1,ResNet50,Ratio,IID,16,1,0.160646705
1,ResNet50,Ratio,IID,16,2,0.25171268399999996
1,ResNet50,Ratio,IID,16,3,0.174426324
1,ResNet50,Ratio,IID,16,4,0.0902443395
1,ResNet50,Ratio,COV,2,0,0.0157271885
1,ResNet50,Ratio,COV,2,1,0.015993919
1,ResNet50,Ratio,COV,2,2,0.0168839035
1,ResNet50,Ratio,COV,2,3,0.014828242
1,ResNet50,Ratio,COV,2,4,0.0199430545
1,ResNet50,Ratio,COV,4,0,0.021504583
1,ResNet50,Ratio,COV,4,1,0.018058671499999998
1,ResNet50,Ratio,COV,4,2,0.0181089415
1,ResNet50,Ratio,COV,4,3,0.020041990000000003
1,ResNet50,Ratio,COV,4,4,0.021244284500000002
1,ResNet50,Ratio,COV,8,0,0.0221664235
1,ResNet50,Ratio,COV,8,1,0.026889292
1,ResNet50,Ratio,COV,8,2,0.0212100685
1,ResNet50,Ratio,COV,8,3,0.017729164
1,ResNet50,Ratio,COV,8,4,0.030884974
1,ResNet50,Ratio,COV,16,0,0.0988279205
1,ResNet50,Ratio,COV,16,1,0.1365584635
1,ResNet50,Ratio,COV,16,2,0.12667082
1,ResNet50,Ratio,COV,16,3,0.1282983415
1,ResNet50,Ratio,COV,16,4,0.127544443
1,ResNet50,Ratio,ADV,2,0,0.017382024
1,ResNet50,Ratio,ADV,2,1,0.0184036245
1,ResNet50,Ratio,ADV,2,2,0.017573583
1,ResNet50,Ratio,ADV,2,3,0.0199606135
1,ResNet50,Ratio,ADV,2,4,0.023887445
1,ResNet50,Ratio,ADV,4,0,0.191876708
1,ResNet50,Ratio,ADV,4,1,0.038461782
1,ResNet50,Ratio,ADV,4,2,0.10920476949999999
1,ResNet50,Ratio,ADV,4,3,0.088407779
1,ResNet50,Ratio,ADV,4,4,0.035904977
1,ResNet50,Ratio,ADV,8,0,0.214872299
1,ResNet50,Ratio,ADV,8,1,0.119999855
1,ResNet50,Ratio,ADV,8,2,0.15749564700000002
1,ResNet50,Ratio,ADV,8,3,0.3364101945
1,ResNet50,Ratio,ADV,8,4,0.186337138
1,ResNet50,Ratio,ADV,16,0,0.5342961015
1,ResNet50,Ratio,ADV,16,1,0.190788595
1,ResNet50,Ratio,ADV,16,2,0.1923044105
1,ResNet50,Ratio,ADV,16,3,0.38693942000000003
1,ResNet50,Ratio,ADV,16,4,0.1942700445
1,ResNet50,Ratio,OOD,2,0,0.052068657
1,ResNet50,Ratio,OOD,2,1,0.09664123050000001
1,ResNet50,Ratio,OOD,2,2,0.078561895
1,ResNet50,Ratio,OOD,2,3,0.076661695
1,ResNet50,Ratio,OOD,2,4,0.1615858415
1,ResNet50,Ratio,OOD,4,0,0.154069648
1,ResNet50,Ratio,OOD,4,1,0.228490567
1,ResNet50,Ratio,OOD,4,2,0.1718417265
1,ResNet50,Ratio,OOD,4,3,0.21654910800000002
1,ResNet50,Ratio,OOD,4,4,0.3091983755
1,ResNet50,Ratio,OOD,8,0,0.24542873049999997
1,ResNet50,Ratio,OOD,8,1,0.3149956805
1,ResNet50,Ratio,OOD,8,2,0.297736897
1,ResNet50,Ratio,OOD,8,3,0.3176666205
1,ResNet50,Ratio,OOD,8,4,0.3947299095
1,ResNet50,Ratio,OOD,16,0,0.3064243045
1,ResNet50,Ratio,OOD,16,1,0.3838680815
1,ResNet50,Ratio,OOD,16,2,0.372445314
1,ResNet50,Ratio,OOD,16,3,0.388302134
1,ResNet50,Ratio,OOD,16,4,0.4955623595
1,ResNet50,Height,IID,2,0,0.018301730000000002
1,ResNet50,Height,IID,2,1,0.034326731
1,ResNet50,Height,IID,2,2,0.0647946355
1,ResNet50,Height,IID,2,3,0.021625221499999996
1,ResNet50,Height,IID,2,4,0.019170657
1,ResNet50,Height,IID,4,0,0.027038389
1,ResNet50,Height,IID,4,1,0.11241805649999999
1,ResNet50,Height,IID,4,2,0.06887215149999999
1,ResNet50,Height,IID,4,3,0.041014374
1,ResNet50,Height,IID,4,4,0.0477240335
1,ResNet50,Height,IID,8,0,0.052863919499999995
1,ResNet50,Height,IID,8,1,0.066923526
1,ResNet50,Height,IID,8,2,0.1129942675
1,ResNet50,Height,IID,8,3,0.0445308995
1,ResNet50,Height,IID,8,4,0.052221764
1,ResNet50,Height,IID,16,0,0.065053847
1,ResNet50,Height,IID,16,1,0.094343854
1,ResNet50,Height,IID,16,2,0.1418901415
1,ResNet50,Height,IID,16,3,0.1075206445
1,ResNet50,Height,IID,16,4,0.148436478
1,ResNet50,Height,COV,2,0,0.0253902775
1,ResNet50,Height,COV,2,1,0.022838582
1,ResNet50,Height,COV,2,2,0.026934434499999996
1,ResNet50,Height,COV,2,3,0.022271469500000002
1,ResNet50,Height,COV,2,4,0.020769753
1,ResNet50,Height,COV,4,0,0.0265267615
1,ResNet50,Height,COV,4,1,0.025056389
1,ResNet50,Height,COV,4,2,0.029061354
1,ResNet50,Height,COV,4,3,0.0284457155
1,ResNet50,Height,COV,4,4,0.028391003
1,ResNet50,Height,COV,8,0,0.043430186
1,ResNet50,Height,COV,8,1,0.048000996
1,ResNet50,Height,COV,8,2,0.0481923185
1,ResNet50,Height,COV,8,3,0.040008629
1,ResNet50,Height,COV,8,4,0.048857938999999996
1,ResNet50,Height,COV,16,0,0.0844341815
1,ResNet50,Height,COV,16,1,0.099060579
1,ResNet50,Height,COV,16,2,0.072530222
1,ResNet50,Height,COV,16,3,0.067183308
1,ResNet50,Height,COV,16,4,0.0968354095
1,ResNet50,Height,ADV,2,0,0.0381029265
1,ResNet50,Height,ADV,2,1,0.035399272
1,ResNet50,Height,ADV,2,2,0.09827671750000001
1,ResNet50,Height,ADV,2,3,0.028364288499999998
1,ResNet50,Height,ADV,2,4,0.0344656155
1,ResNet50,Height,ADV,4,0,0.049542955
1,ResNet50,Height,ADV,4,1,0.082209035
1,ResNet50,Height,ADV,4,2,0.09652882
1,ResNet50,Height,ADV,4,3,0.0590931865
1,ResNet50,Height,ADV,4,4,0.0736078785
1,ResNet50,Height,ADV,8,0,0.0896759685
1,ResNet50,Height,ADV,8,1,0.22231548750000002
1,ResNet50,Height,ADV,8,2,0.195879594
1,ResNet50,Height,ADV,8,3,0.2552140315
1,ResNet50,Height,ADV,8,4,0.10714216750000001
1,ResNet50,Height,ADV,16,0,0.0774647735
1,ResNet50,Height,ADV,16,1,0.23089544799999998
1,ResNet50,Height,ADV,16,2,0.23047376949999998
1,ResNet50,Height,ADV,16,3,0.233890287
1,ResNet50,Height,ADV,16,4,0.234950496
1,ResNet50,Height,OOD,2,0,0.0645998375
1,ResNet50,Height,OOD,2,1,0.08248663
1,ResNet50,Height,OOD,2,2,0.046003249499999996
1,ResNet50,Height,OOD,2,3,0.0484561335
1,ResNet50,Height,OOD,2,4,0.110917875
1,ResNet50,Height,OOD,4,0,0.141177717
1,ResNet50,Height,OOD,4,1,0.16187184899999998
1,ResNet50,Height,OOD,4,2,0.118148082
1,ResNet50,Height,OOD,4,3,0.12453510200000001
1,ResNet50,Height,OOD,4,4,0.18704436349999998
